code,display_en,display_fi
JJC00,Allogenic transplantation of liver,Homolog levertransplantation
JJC10,Allogenic partial transplantation of liver,Homolog partiell levertransplantation
JJC20,Allogenic partial transplantation of liver from living donor,"Homolog partiell levertransplantation, från levande donator"
JJC30,Xenogenic transplantation of liver,Heterolog levertransplantation
JJC40,Xenogenic partial transplantation of liver,Heterolog partiell levertransplantation
JJC50,Resection of transplanted liver,Levertransplantation med delning av levertransplantat
JJC60,Total excision of transplanted liver,Exstirpation av transplanterad lever
JJC96,Other transplantation of liver or related operation,Annan operation i samband med levertransplantation
JJW,Other operations on liver,Andra operationer på levern
JJW96,Other operation on liver,Annan öppen operation på levern
JJW97,Other laparoscopic operation on liver,Annan laparoskopisk operation på levern
JJ0,,Strålbehandling av levern och gallvägar
JJ001,Preoperative radiotherapy of liver and bile system,Preoperativ strålbehandling av primärtumör i levern eller gallvägar
JJ002,Radical radiotherapy of liver and bile system,Radikal strålbehandling av primärtumör i levern eller gallvägar
JJ003,Adjuvant radiotherapy of liver and bile system,Adjuvant strålbehandling av primärtumör i levern eller gallvägar
JJ004,Palliative radiotherapy of liver and bile system,Palliativ strålbehandling av primärtumör i levern eller gallvägar
JJ029,Radiotherapy of local recidive of tumor of liver and bile system,Strålbehandling av lokalt recidivtumör i levern eller gallvägar
JJ049,Radiotherapy of methastasis in liver and bile system,Strålbehandling av metastas i levern eller gallvägar
JJ090,Profylactic radiotherapy of liver and bile system,Profylatktisk strålbehandling av levern och gallvägar
JJ099,Other radiotherapy of liver and bile system,Annan strålbehandling av levern och gallvägar
JJ1AD,Liver CT,"Lever, DT *"
JJ1AK,Spectroscopy of liver,Spektroskopi av levern
JJ1AN,Liver isotope imaging,Lever isotopundersökning
JJ1AQ,Liver SPECT with low dose CT,Lever SPET med lågdos-DT
JJ1AT,Puncture of lesion of liver with ultrasound guidance,"Leverlesion, UL-styrd punktion"
JJ1CE,"Liver, bile duct and pancreas endoscopic ultrasound examination","Lever, ultraljudsledd elastografi"
JJ1HT,,Radiologiskt styrd insättning av strålkälla i lever
JJ1KJ,,
JJ1KP,Liver very extensive metabolic SPECT,Lever mycket omfattande metabolisk SPET
JJ1LE,,"Lever, ultraljudsledd elastografi"
JJ1PD,CT examination of liver perfusion,Leverperfusionsundersökning med DT
JJ1PJ,,
JJ1SN,LIver SPECT,Lever SPET
JJ_2,Other procedures of liver,Andra åtgärder på levern
JJ2AT,Biopsy of liver with ultrasound guidance,"Lever, UL-styrd vävnadsbiopsi"
JJ2CT,Biopsy of liver with CT guidance,"Lever, DT-styrd vävnadsbiopsi"
JJ2DT,Biopsy of liver with MRI guidance,"Lever, MR-styrd vävnadsbiopsi"
JJ2D3,,Histologisk undersökning från levern
JJ3AT,Cytology of liver with ultrasound guidance,"Lever, UL-styrd finnålsbiopsi"
JJ3CT,Cytology of liver with CT guidance,"Lever, DT-styrd finnålsbiopsi"
JJ4AT,Catherisation of liver lesion with ultrasound guidance,"Leverlesion, UL-styrt dränage"
JJ4BT,Catherisation of liver lesion with X-ray guidance,"Leverlesion, genomlysningsstyrt dränage"
JJ4CT,Catherisation of liver lesion with CT guidance,"Leverlesion, DT-styrt dränage"
JJ5KT,Sclerotherapy of liver cyst,"Levercysta, skleroterapi"
JJ5LT,Sclerotherapy of liver,"Lever, skleroterapi"
JJ6LT,,"Lever, UL styrd värmekoagulation"
JJ7LT,,"Lever, CT styrd värmekoagulation"
JJ8LT,,"Lever, MR styrd värmekoagulation"
JJ9AE,,"Levertransplantat, UL"
JJ9AT,,Radiologiskt styrd biopsi av levertransplantat
JK,Biliary tract,Gallvägar
JK_,Diagnostic radiology of biliary tract,Diagnostisk radiologi av gällvägar
JKA,Operations on gallbladder,Operationer på gallblåsan
JKA00,Cholecystotomy,Cholecystotomi
JKA10,Cholecystostomy,Öppen cholecystostomi
JKA11,Laparoscopic cholecystostomy,Laparoskopisk cholecystostomi
JKA13,Percutaneous cholecystostomy,Perkutan cholecystostomi
JKA20,Cholecystectomy,Öppen cholecystektomi
JKA21,Laparoscopic cholecystectomy,Laparoskopisk cholecystektomi
JKA96,Other operation on gallbladder,Annan öppen operation på gallblåsan
JKA97,Other laparoscopic operation on gallbladder,Annan laparoskopisk operation på gallblåsan
JKB,Incision and related operations on bile duct,"Cholangiotomi, exploration och andra lokala operationer på gallgångar"
JKB00,Incision of bile duct,Cholangiotomi
JKB01,Laparoscopic incision of bile duct,Laparoskopisk cholangiotomi
JKB11,Laparoscopic extraction of calculus from bile duct through cystic duct,Laparoskopisk stenextraktion från gallgång via ductus cysticus
JKB20,Intraoperative cholangioscopy,Peroperativ cholangioskopi
JKB21,Laparoscopic cholangioscopy,Laparoskopisk cholangioskopi
JKB30,Percutaneous transhepatic biliary drainage,Perkutant transhepatiskt dränage av gallgång
JKB40,Suture of bile duct,Sutur av gallgång
JKB96,Other incision or related operation on bile duct,Annan öppen lokal operation på gallgång
JKB97,Other laparoscopic incision or related operation on bile duct,Annan laparoskopisk lokal operation på gallgång
JKC,Excision of bile duct,Resektioner av gallgångarna inkl papilla Vateri
JKC00,Incision of bile duct and local excision of lesion,Öppen incision av gallgång med exstirpation av lokal förändring
JKC01,Laparoscopic incision of bile duct and local excision of lesion,Laparoskopisk incision av gallgång med exstirpation av lokal förändring
JKC10,Partial excision and anastomosis of bile duct,Resektion och anastomos av gallgång
JKC20,Partial excision of bile duct and anastomosis to duodenum,Resektion av gallgång med cholangioduodenostomi
JKC30,Partial excision of bile duct and anastomosis to jejunum,Resektion av gallgång med cholangioenterostomi
JKC40,Partial excision of right or left hepatic duct and anastomosis to jejunum,Resektion av ductus hepaticus eller dess grenar med hepatikoenterostomi
JKC50,Excision of papilla of Vater and anastomosis of bile duct to duodenum or jejunum,Exstirpation av papilla Vateri med cholangioenterostomi
JKC96,Other excision of bile duct,Annan gallvägsresektion
JKC97,Other laparoscopic excision of bile duct,Annan laparoskopisk gallvägsresektion
JKD,Biliodigestive anastomosis without excision,By-pass-operationer på gallvägarna utan resektion
JKD00,Anastomosis of gallbladder to jejunum,Öppen cholecystojejunostomi
JKD01,Laparoscopic anastomosis of gallbladder to jejunum,Laparoskopisk cholecystojejunostomi
JKD10,Anastomosis of bile duct to duodenum,Cholangioduodenostomi
JKD20,Anastomosis of bile duct to jejunum,Cholangiojejunostomi
JKD30,Extrahepatic anastomosis of right or left hepatic duct to jejunum,Extrahepatisk hepatikojejunostomi
JKD40,Anastomosis of intrahepatic bile duct to jejunum,Cholangiojejunostomi (intrahepatiska gallgångar)
JKD50,Hepatoportoenterostomy,Hepatoportoenterostomi vid gallvägsatresi
JKD96,Other biliodigestive anastomosis without excision,Annan cholangioenterostomi utan resektion
JKE,Transduodenal operations on bile duct or ampulla of Vater,Transduodenala operationer på gallgång eller papilla Vateri
JKE00,Transduodenal papillotomy,Öppen transduodenal papillotomi
JKE02,Transduodenal endoscopic incision of common bile duct orifice,Endoskopisk papillotomi eller sfinkterotomi
JKE06,Transduodenal sphincteroplasty,Transduodenal sfinkterplastik av sphincter Oddi
JKE12,Endoscopic extraction of calculus from bile duct,Endoskopisk stenextraktion ur gallgång
JKE15,Endoscopic lithotripsy in bile duct,Endoskopisk litotripsi i gallgång
JKE18,Endoscopic internal drainage of bile duct,Endoskopiskt internt dränage av gallgång
JKE22,Endoscopic extraction of foreign body from bile duct,Endoskopisk extraktion av främmande kropp ur gallgång
JKE25,Endoscopic external drainage of bile duct,"Endoskopiskt externt dränage av gallgång,"
JKE32,Endoscopic dilatation of bile duct,"Endoskopisk dilatation av gallgång,"
JKE96,Other transduodenal open operation on bile duct or ampulla of Vater,Annan öppen transduodenal operation på gallgång eller papilla Vateri
JKE98,Other transduodenal endoscopic operation on bile duct or ampulla of Vater,Annan transduodenal endoskopisk operation på gallgång eller papilla Vateri
JKF,Secondary operations on biliary tract,Reoperationer på gallgångar efter tidigare ingrepp
JKF00,Excision of cystic duct,Excision av ductus cysticus-stump efter cholocystektomi
JKF10,Percutaneous extraction of biliary calculus,Perkutan gallstensextraktion via kanal för tidigare inlagd T-drän
JKF96,Other secondary operation on biliary tract,Annan öppen reoperation på gallgångar
JKF97,Other laparoscopic secondary operation on biliary tract,Annan laparoskopisk reoperation på gallgångar
JKT,Extracorporeal shock wave lithotripsy of biliary tract,Extrakorporeal stötvågslitotripsi i gallvägarna
JKT00,Extracorporeal shock wave lithotripsy of gallbladder,Extrakorporeal stötvågslitotripsi i gallblåsan
JKT10,Extracorporeal shock wave lithotripsy of biliary duct,Extrakorporeal stötvågslitotripsi i gallgångar
JKW,Other operations on biliary tract,Andra operationer på gallvägarna
JKW96,Other operation on biliary tract,Annan öppen operation på gallvägarna
JKW97,Other laparoscopic operation on biliary tract,Annan laparoskopisk operation på gallvägarna
JKW98,Other transluminal endoscopic operation on biliary tract,Annan transluminal endoskopisk operation på gallvägarna
JK1AT,Cathetrisation of bile cyst with radiological guidance,"Gallblåsa, radiologiskt styrd kanalisering"
JK1CB,Cholecysto- and choledochography with X-ray,Kolecysto- och koledockografi
JK1KJ,,
JK1PJ,,
JK_2,Other pocedures of biliary tract,Andra åtgärder på gallvägar
JK2AT,Puncture of bile cyst with ultrasound guidance,"Gallblåsa, UL-styrd punktion"
JK_3,Other diagnostic procedures of biliary tract,Andar diagnostiska åtgärder av gallvägar
JK3AD,Bile duct CT,"Gallgångar, DT"
JK3AN,Biliary tract isotope imaging,Gallvägar isotopundersökning
JK3AT,Catherisation of bile duct with ultrasound guidance,"Gallgångar, UL-styrt dränage"
JK3BT,Catherisation of bile duct with X-ray guidance,"Gallgångar, genomlysningsstyrt dränage"
JK3CD,CT examination of bile ducts with contrast,DT av gallgångar
JK3CT,Catherisation of bile duct with CT guidance,"Gallgångar, DT-styrt dränage"
JK3FT,Exchange of bile duct catheter with radiological guidance,"Gallgångsdränbyte, radiologiskt styrt"
JK3KJ,,
JK3LT,,"Gallvägsvärmekoagulation, radiologiskt styrt"
JK3MB,Postoperative cholangiography,"Kolangiografi, postoperativ"
JK3MN,Bile absorbtion isotope examination,"Gallsyre absorbering, isotopundersökning"
JK3NB,Percutaneous transhepatic cholangiography,"Kolangiografi, perkutan (PTC)"
JK3NT,Percutaneous transhepatic dilatation of bileducts,"Gallgångsdilatation, perkutan transhepatisk"
JK3PB,Peroperative cholangiography,Kolangiografi  peroperativ
JK3PJ,,
JK3PN,Duodenogastric bile reflux isotope examination,Gallreflux isotopundersökning
JK3RT,Percutaneous transhepatic removal of stones from bile ducts,"Gallgångar, transhepatisk avlägsnande av konkrement eller främmande föremål (PTC)"
JK3SB,Endoscopic retrorade cholangiography,"Kolangiografi, endoskopisk  (ERC)"
JK4ZT,Percutaneous transhepatic implantation of bile duct prothesis,"Gallgpngsprotes, perkutan transhepatisk insättning"
JK5ZT,Implantation of bile duct prosthesis with combined percutaneous transhepatic and endoscopic retrograde technic,"Gallgångsprotes, insättning med kombinerad teknik"
JL,Pancreas,Pankreas
JL_,Diagnostic radiology of pancreas,Diagnostisk radiologi av pankreas
JLA,Exploration and biopsy of pancreas,Exploration och biopsi av pankreas
JLA00,Exploration of pancreas,Exploration av pankreas
JLA10,Biopsy of pancreas,Öppen biopsi av pankreas
JLA20,Needle biopsy of pancreas,Öppen punktionsbiopsi av pankreas
JLA21,Laparoscopic needle biopsy of pancreas,Laparoskopisk punktionsbiopsi av pankreas
JLB,"Incision, drainage or dilatation of pancreas","Incision, dränage av pankreas och dilatation av pankreasgångar"
JLB00,Incision of pancreas,Incision av pankreas
JLB10,Pancreaticolithotomy,Pankreatikolitotomi
JLB12,Transduodenal endoscopic incision of pancreatic duct orifice,Endoskopisk klyvning av pankreasgångens mynning
JLB22,Transduodenal endoscopic extraction of calculus from pancreatic duct,Endoskopisk stenextraktion ur pankreasgång
JLB25,Transduodenal endoscopic lithotripsy in pancreatic duct,Endoskopisk litotripsi i pankreasgång
JLB28,Endoscopic internal drainage of pancreatic duct,Endoskopiskt internt dränage av pankreasgång
JLB35,Transduodenal endoscopic extraction of foreign body from pancreatic duct,Endoskopisk extraktion av främmande kropp ur pankreasgång
JLB38,Endoscopic external drainage of pancreatic duct,Endoskopiskt externt dränage av pankreasgång
JLB42,Transduodenal endoscopic dilatation of pancreatic duct,Endoskopisk dilatation av pankreasgång
JLB96,"Other incision, drainage or dilatation of pancreas","Annan öppen operation för incision, dränage"
JLB98,"Other transduodenal endosciopic incision, drainage or dilatation of pancreas",Annan endoskopisk operation för incision eller dränage av pankreas
JLC,Excision of pancreas,Pankreasresektion och pankreatektomi
JLC00,Excision of lesion of pancreas,Enukleation av förändring/tumör i pankreas
JLC10,Distal pancreatectomy,Distal pankreasresektion
JLC11,Laparoscopic distal pancreatectomy,Laparoskopisk distal pankreasresektion
JLC20,Total pancreatectomy,Pankreatektomi med bevarande av duodenum
JLC30,Pancreatoduodenectomy,Pankreas- och duodenalresektion
JLC40,Total pancreatoduodenectomy,Total pankreatikoduodenektomi
JLC50,Atypical pancreatectomy,Atypisk pankreasresektion
JLC96,Other pancreatectomy,Annan pancreasresektion
JLD,Anastomosis of pancreas without resection,Pankreasanastomos utan resektion
JLD00,Pancreaticojejunostomy,Pankreatikojejunostomi
JLD10,Anastomosis of pancreatic pseudocyst to stomach,Öppen anastomosering av pankreaspseudocysta till ventrikeln
JLD12,Endoscopic drainage of pancreatic pseudocyst,Endoskopiskt dränage av pankreaspseudocysta till ventrikeln
JLD20,Anastomosis of pancreatic pseudocyst to jejunum,Öppen anastomos av pankreaspseudocysta till tunntarm
JLD22,Endoscopic drainage of pancreatic pseudocyst to jejunum,Endoskopiskt dränage av pankreaspseudocysta till tunntarm
JLE,Transplantation of pancreas and related operations,Pankreastransplantation och därmed sammanhängande operationer
JLE00,Allogenic total transplantation of pancreas with pancraticocystostomy,Homolog pankreastransplantation med pankreatikocystostomi
JLE03,Allogenic total transplantation of pancreas with pancreaticoenterostomy,Homolog pankreastransplantation med pankreatikoenterostomi
JLE10,Allogenic segmental transplantation of pancreas,Homolog transplantation av pankreassegment
JLE16,Allogenic segmental transplantation of pancreas from living donor,Homolog transplantation av pankreassegment från levande donator
JLE20,Allogenic islet cell transplantation,Homolog transplantation av Langerhans-celler
JLE30,Xenogenic islet cell transplantation,Heterolog transplantation av Langerhans-celler
JLE40,Total excision of transplanted pancreas,Exstirpation av transplanterad pankreas
JLE50,Occlusion of duct of transplanted pancreas,Ocklusion av pankreasgång i transplanterad pankreas
JLE56,Conversion of pancreaticocystostomy to pancreaticoenterostomy,Konvertering av pankreatikocystostomi till pankreatikoenterostomi
JLE70,,Inspektion och beredning av pankreas före transplantation
JLE96,Other transplantation of pancreas or related operation,Annan operation i samband med pankreastransplantation
JLT,Extracorporeal shock wave lithotripsy of pancreatic duct,Extrakorporeal stötvågslitotripsi i pankreasgång
JLT00,Extracorporeal shock wave lithotripsy of pancreatic duct,Extrakorporeal stötvågslitotripsi i pankreasgång
JLW,Other operations on pancreas,Andra operationer på pankreas
JLW96,Other operation on pancreas,Annan öppen operation på pankreas
JLW97,Other laparoscopic operation on pancreas,Annan laparoskopisk operation på pankreas
JLW98,Other transluminal endoscopic operation on pancreas,Annan transluminal endoskopisk operation på pankreas
JL0,,Strålbehandling av pankreas
JL001,Peroperative radiotherapy of pancreas,Preoperativ strålbehandling av primärtumör i pankreas
JL002,Radical radiotherapy of pancreas,Radikal strålbehandling av primärtumör i pankreas
JL003,Adjuvant radiotherapy of pancreas,Adjuvant strålbehandling av primärtumör i pankreas
JL004,Palliative radiotherapy of pancreas,Palliativ strålbehandling av primärtumör i pankreas
JL029,Radiotherapy of local recidive of tumor of pancreas,Strålbehandling av lokal recidivtumör i pankreas
JL049,Radiotherapy of methastasis in pancreas,Strålbehandling av metastas i pankreas
JL090,Profylactive radiotherapy of pancreas,Profylaktisk strålbehandling av pankreas
JL099,Other radiotherapy of pancreas,Annan strålbehandling av pankreas
JL1AD,Pancreas CT,"Pankreas, DT *"
JL1AT,Biopsy of pancreas with ultrasound guidance,"Pankreas, UL-styrd vävnadsbiopsi"
JL1CT,Biopsy of pancreas with CT guidance,"Pankreas, DT-styrd vävnadsbiopsi"
JL1DT,Biopsy of pancreas with MRI guidance,"Pankreas, MR-styrd vävnadsbiopsi"
JL1KJ,,
JL1LT,,"Pankreas värmekoagulation, radiologiskt styrt"
JL1PJ,,
JL_2,Other diagnostic procedures of pancreas,Andra diagnostiska åtgärder på pankreas
JL2AT,Cytology of pancreas with ultrasound guidance,"Pankreas, UL-styrd finnålsbiopsi"
JL2CT,Cytology of pancreas with CT guidance,"Pankreas, DR-styrd finnålsbioipsi"
JL2DT,Cytology of pancreas with MRI guidance,"Pankreas, MR-styrd finnålsbiopsi"
JL_3,Other procedures of pancreas,Andra åtgärder på pankreas
JL3AT,Catherisation of cyst of pancreas with ultrasound guidance,"Pankreascysta, UL-styrt dränage"
JL3BT,Catherisation of cyst of pancreas with X-ray guidance,"Pankreascysta, genomlysningsstyrt dränage"
JL3CT,Catherisation of cyst of pancreas with CT guidance,"Pankreascysta, DT-styrt dränage"
JL3DT,Catherisation of cyst of pancreas with MRI guidance,"Pankreascysta, MR-styrt dränage"
JL3FT,Exchange catheter to cyst of pancreas with radiological guidance,"Pankreascysta, radiologiskt styrt byte av kateter"
JL3GT,Puncture of pancreas cyst with CT guidance,"Pankreascysta, DT-styrd punktion"
JL3YT,Puncture of pancreas cyst with ultrasound guidance,"Pankreascysta, UL-styrd punktion"
JL4KJ,,
JL4PJ,,
JL4SB,Endoscopic retrograde pancreaticography,"Pankreatikografi, endoskopisk  (ERP)"
JL5AF,Simple MRI examinaiton of bile and pancreas ducts with median intesity magnet,"Pankreas- och gallgångar, begränsad MR (under 1,5T) (MRCP)"
JL5AG,Simple MRI examinaiton of bile and pancreas ducts with high intesity magnet,"Pankreas- och gallgångar, begränsad MR  (MRCP)"
JL5AM,Bile and pancreas ducts simple MRI examination with 3 Tesla magnet,"Pankreas- och gallgångar, begränsad MR (över 1,5T)"
JL5BF,MRI examinaiton of bile and pancreas ducts with median intesity magnet,"Pankreas- och gallgångar, MR (under 1,5T)  (MRCP)"
JL5BG,MRI examinaiton of bile and pancreas ducts with high intesity magnet,"Pankreas- och gallgångar, MR  (MRCP)"
JL5BM,Bile and pancreas ducts MRI examination with 3 Tesla magnet,"Pankreas- och gallgångar, MR (över 1,5T)"
JL5CF,Extensive MRI examinaiton of bile and pancreas ducts with median intesity magnet,"Pankreas- och gallgångar, omfattande MR (under 1,5T)  (MRCP)"
JL5CG,Extensive MRI examinaiton of bile and pancreas ducts with high intesity magnet,"Pankreas- och gallgångar, omfattande MR  (MRCP)"
JL5CM,Bile and pancreas ducts extensive MRI examination with 3 Tesla magnet,"Pankreas- och gallgångar, omfattande MR (över 1,5T)"
JL5SB,Endoscopic retrograd cholangiopancreaticography,"Kolangiopankreatikografi, endoskopisk (ERCP)"
JL6SB,Prolonged kinetic examination of bile and pancreas ducts,"Ductus choledoctus och pankreaticus, förlängd genomlysning"
JL9AE,,"Pankreastransplantat, UL"
JL9AT,,"Pankreastransplantat, provtagning"
JM,Spleen,Mjälten
JM_,Spleen diagnostic radiology,Diagnostisk radiologi av mjälte
JMA,Splenectomy,Splenektomier/resektioner
JMA00,Partial splenectomy,Mjältresektion
JMA10,Transabdominal total splenectomy,Splenektomi vid laparotomi
JMA11,Laparoscopic total splenectomy,Laparoskopisk splenektomi
JMA20,Transthoracic total splenectomy,Transtorakal splenektomi
JMB,Miscellaneous operations on spleen,Diverse operationer på mjälten
JMB00,Biopsy of spleen,Öppen biopsi av mjälten
JMB01,Laparoscopic biopsy of spleen,Laparoskopisk biopsi av mjälten
JMB10,Repair of spleen,Reparation av mjältruptur
JMW,Other operations on spleen,Andra operationer på mjälten
JMW96,Other operation on spleen,Annan öppen operation på mjälten
JMW97,Other laparoscopic operation on spleen,Annan laparoskopisk operation på mjälten
JM0,Radiotherapy of spleen,Strålbehandling av mjälten
JM001,Preoperative radiotherapy of spleen,Preoperativ strålbehandling av primärtumör i mjälten
JM002,Radical radiotherapy of spleen,Radikal strålbehandling av primärtumör i mjälten
JM003,Adjuvant radiotherapy of spleen,Adjuvant strålbehandling av primärtumör i mjälten
JM004,Palliative radiotherapy of spleen,Palliativ strålbehandling av primärtumör i mjälten
JM029,Radiotherapy of local recidive of tumor of spleen,Strålbehandling av lokalt recidivtumör i mjälten
JM049,Radiotherapy of methastasis in spleen,Strålbehandling av metastas i hjälten
JM090,Profylactic radiotherapy of spleen,Profylaktisk strålbehandling av mjälten
JM099,Other radiotherapy of spleen,Annan strålbehandling av mjälten
JM1AN,Spleen and accessory spleen isotope imaging,Mjälte och accessorisk mjälte isotopundersökning
JM1AQ,Spleen and accessory spleen SPECT with low dose CT,Mjälte och accessorisk mjälte SPET med lågdos-DT
JM1AT,Cytology of spleen with ultrasound guidance,"Mjälte, UL-styrd finnålsbiopsi"
JM1LT,,"Mjälte värmekoagulation, radiologiskt styrt"
JM1PD,CT examination of spleen perfusion,Mjälteperfusionsundersökning med DT
JM1SN,Spleen and accessory spleen SPECT,Mjälte och accessorisk mjälte SPET
JM_2,Other procedures of spleen,Andra åtgärder på mjälte
JM2AT,Biopsy of spleen with ultrasound guidance,"Mjälte, UL-styrd vävnadsbiopsi"
JN1AD,CT examination of upper part of abdomen,"Övre del av buken, DT"
JN1AE,Ultrasound examination of upper part of abdomen,"Övre del av buken, UL"
JN1AF,Simple MRI examination of upper part of abodmen with median intensity magnet,"Övre del av buken, begränsad MR (under 1,5T)"
JN1AG,Simple MRI examination of upper part of abodmen with high intensity magnet,"Övre del av buken, begränsad MR"
JN1AM,Upper part of abdomen simple MRI examination with 3 Tesla magnet,"Övre del av buken, begränsad MR (över 1,5T)"
JN1BD,Extensive CT examination of upper part of abdomen,"Övre del av buken, omfattande DT"
JN1BF,MRI examination of upper part of abodmen with median intensity magnet,"Övre del av buken, MR (under 1,5T)"
JN1BG,MRI examination of upper part of abodmen with high intensity magnet,"Övre del av buken, MR"
JN1BM,Upper part of abdomen MRI examination with 3 Tesla magnet,"Övre del av buken, MR (över 1,5T)"
JN1CD,Very extensive CT examination of upper part of abdomen,"Övre del av buken, mycket omfattande DT"
JN1CF,Extensive MRI examination of upper part of abdomen with median intensity magnet,"Övre del av buken, omfattande MR (under 1,5T)"
JN1CG,Extensive MRI examination of upper part of abdomen with high intensity magnet,"Övre del av buken, omfattande MR"
JN1CM,Upper part of abdomen extensive MRI examination with 3 Tesla magnet,"Övre del av buken, omfattande MR (över 1,5T)"
JN1DF,Very extensive MRI examination of upper part of abdomen with median intensity magnet,"Övre del av buken, mycket omfattande MR (under 1,5T)"
JN1DG,Very extensive MRI examination of upper part of abdomen with high intensity magnet,"Övre del av buken, mycket omfattande MR"
JN1DM,Upper part of abdomen very extensive MRI examination with 3 Tesla magnet,"Övre del av buken, mycket omfattande MR (över 1,5T)"
JN1DS,,"Övre del av buken, metabolisk PET-MRI"
JN1KJ,,
JN1PJ,,
JN1XD,Other CT examination of upper part of abdomen,DT av övre delen av buken (övrig)
JN2AD,CT examination of lower part of abdomen,"Nedre del av buken, DT"
JN2AE,Ultrasound examination of lower part of abdomen without contrast,"Nedre del av buken, UL"
JN2BD,Extensive CT exmaniation of lower part of abdomen,"Nedre del av buken, omfattande DT"
JN2BF,MRI examination of lower part of abdoment with median intensity magnet,"Nedre del av buken, MR (under 1,5T)"
JN2BG,MRI examination of lower part of abdoment with high intensity magnet,"Nedre del av buken, MR"
JN2BM,Lower part of abdomen MRI examination with Tesla magnet,"Nedre del av buken, MR (över 1,5T)"
JN2CD,Very extensive CT examination of lower part of abdomen,"Nedre del av buken, mycket omfattande DT"
JN2CF,Extensive MRI examination of lower part of abdoment with median intensity magnet,"Nedre del av buken, omfattande MR (under 1,5T)"
JN2CG,Extensive MRI examination of lower part of abdoment with high intensity magnet,"Nedre del av buken, omfattande MR"
JN2CM,Lower part of abdomen extensive MRI examination with Tesla magnet,"Nedre del av buken, omfattande MR (över 1,5T)"
JN2DF,Very extensive MRI examination of lower part of abdoment with median intensity magnet,"Nedre del av buken, mycket omfattande MR (under 1,5T)"
JN2DG,Very extensive MRI examination of lower part of abdoment with high intensity magnet,"Nedre del av buken, mycket omfattande MR"
JN2DM,Lower part of abdomen very extensive MRI examination with Tesla magnet,"Nedre del av buken, mycket omfattande MR (över 1,5T)"
JN2DS,,"Nedre del av buken, metabolisk PET-MRI"
JN2KJ,,
JN2PJ,,
JN2XD,Other CT examination of lower part of abdomen,DT av nedre delen av buken (övrig)
JN3AA,Abdominal X-ray examination without contrast,"Buköversikt, röntgen"
JN3AD,Abdominal CT examination,"Buk, DT"
JN3AE,Abdominal ultrasound examination,"Buk, UL"
JN3BD,Extensive abdominal CT,"Buk, omfattande DT"
JN3BF,MRI examination of abdomen with median intensity magnet,"Buk, MR (under 1,5T)"
JN3BG,MRI examination of abdomen with high intensity magnet,"Buk, MR"
JN3BM,Abdominal MRI examination with 3 Tesla magnet,"Buk, MR (över 1,5T)"
JN3CA,Simple X-ray examination of abdomen and pelvis,Enkel röntgenbild av buk eller bäcken
JN3CD,Abdominal CT examination  both without and with contrast,"Buk, mycket omfattande DT"
JN3CF,Extensive MRI examination of abdomen with median intensity magnet,"Buk, omfattande MR (under 1,5T)"
JN3CG,Extensive MRI examination of abdomen with high intensity magnet,"Buk, omfattande MR"
JN3CM,Abdominal extensive MRI examination with 3 Tesla magnet,"Buk, omfattande MR (över 1,5T)"
JN3DE,Abdominal extensive ultrasoudn examination with blood flow measurements after transplantation,"Buk, omfattande UL  med flödesmätningar efter organtransplantation"
JN3DF,Very extensive MRI examination with median intensity magnet,"Buk, mycket omfattande MR (under 1,5T)"
JN3DG,Very extensive MRI examination with high intensity magnet,"Buk, mycket omfattande MR"
JN3DM,Abdominal very extensive MRI examination with 3 Tesla magnet,"Buk, mycket omfattande MR (över 1,5T)"
JN3GE,,"Buk, intraoperativt UL"
JN3HA,Tomography of abdominal or pelvic organs,Tomografi av bukorganen eller bäckenet
JN3HD,Mesurement of abdominell fat with CT,Mätning av abdominal fett med TT
JN3HE,Simple abdominal follow-up ultrasound,"Buk, begränsad kontrollundersökning med UL"
JN3KE,Abdominal ultrasound with added contrast,"Bukorgan, UL med kontrastmedel"
JN3XD,Other CT examination of abdomen,DT av hela buken (övrig)
JN4AD,Body CT examination,"Kropp,  DT"
JN4AE,,UL av kroppen vid trauma (FAST)
JN4BD,Extensive body CT,"Kropp,  omfattande DT"
JN4BG,Body MRI with high intensity magnet,"Kropp, MR"
JN4BM,Body MRI with 3 Tesla magnet,"Kropp, MR (över 1,5T)"
JN4CD,Very extensive body CT,"Kropp,  mycket omfattande DT"
JN4CG,Body extensive MRI with high intensity magnet,"Kropp, omfattande MR"
JN4CM,Body extensive MRI with 3 Tesla magnet,"Kropp, omftande MR (över 1,5T)"
JN4DD,,"Kropp, scout-scan DT"
JN4DG,Body very extensive MRI with high intensity magnet,"Kropp, mycket omfattande MR"
JN4DM,Body very extensive MRI with 3 Tesla magnet,"Kropp, mycket omftande MR (över 1,5T)"
JN4DP,Whole body metabolic PET,Hela kroppen metabolisk PET
JN4DR,Whole body metabolic PET with CT,Hela kroppen metabolisk PET med DT
JN4ED,Body CT examination with specail preparation,DT av torax och buk med speciella förberedelser
JN4GR,,Hela kroppen gamma PET med låg-dos DT
JN4HR,,Hela kroppen omfattande gamma PET med låg-dos DT
JN4JR,Whole body extensive metabolic PET with CT,Hela kroppen omfattande metabolisk PET med DT
JN4KR,Whole body very extensive metabolic PET with CT,Hela kroppen mycket omfattande metabolisk PET med DT
JN4LA,,Kontroll av kateterns position i kroppen
JN4LB,Localisation of catheter in body,Kateter lokalisering i kroppen
JN4LR,,"Kroppens receptorer, omfattande PET-DT"
